month,mut1,mut2,mut3
2001M01,770095,295355,339023
2001M02,629350,248283,256351
2001M03,663170,271344,264674
2001M04,650177,279304,250420
2001M05,713649,326336,246014
2001M06,695624,326309,236874
2001M07,704734,356180,206992
2001M08,693821,345400,211975
2001M09,795625,362212,304039
2001M10,726018,315929,270775
2001M11,650861,285575,236909
2001M12,640683,324674,191039
2002M01,683665,345433,198188
2002M02,672584,353367,198474
2002M03,652716,341320,182254
2002M04,662728,363258,181085
2002M05,694568,380675,189499
2002M06,671190,373771,176130
2002M07,691517,390530,170942
2002M08,681693,382657,163702
2002M09,649518,359573,165399
2002M10,668299,343228,185622
2002M11,612179,328975,156378
2002M12,644181,353381,162517
2003M01,710215,397710,174292
2003M02,550699,316471,123177
2003M03,610571,353792,128981
2003M04,627469,363105,133639
2003M05,668782,360933,164640
2003M06,654195,371453,147821
2003M07,675156,377136,146773
2003M08,656865,376204,135333
2003M09,668895,384371,136603
2003M10,639074,351194,135405
2003M11,602510,313748,145138
2003M12,643587,339933,141087
2004M01,696099,395233,151548
2004M02,591716,326367,117994
2004M03,627731,349888,116664
2004M04,619103,339664,124011
2004M05,651088,361769,137501
2004M06,669185,387857,117681
2004M07,667594,394328,116719
2004M08,656224,382116,114372
2004M09,640068,366284,111339
2004M10,619278,330194,124193
2004M11,626843,332284,123097
2004M12,650031,341754,119047
2005M01,656035,380660,104940
2005M02,640793,370156,104681
2005M03,650863,359579,98553
2005M04,633506,332646,104069
2005M05,666509,359270,106375
2005M06,670038,380450,90663
2005M07,683512,385660,96356
2005M08,679191,382372,93080
2005M09,660542,364280,89777
2005M10,629688,335791,97689
2005M11,622630,318023,99670
2005M12,635378,331511,98745
2006M01,687321,367784,103616
2006M02,596097,324825,84760
2006M03,635158,326259,82062
2006M04,612048,320099,73868
2006M05,665768,344364,84207
2006M06,668101,359602,70987
2006M07,670102,367193,65409
2006M08,671907,361360,63265
2006M09,637838,344741,57317
2006M10,655268,352267,58321
2006M11,646579,350407,50525
2006M12,645418,345067,56679
2007M01,669649,371663,48035
2007M02,658237,386836,48880
2007M03,671883,368444,44152
2007M04,641209,353137,45477
2007M05,674137,365524,50618
2007M06,680109,381399,37541
2007M07,680124,375015,38329
2007M08,695753,385436,37044
2007M09,639221,348446,30804
2007M10,676374,355058,45373
2007M11,620035,310086,43163
2007M12,642717,334726,35531
2008M01,682388,382802,27405
2008M02,629922,365300,23174
2008M03,606304,337292,18753
2008M04,611410,337406,17960
2008M05,647752,354148,21247
2008M06,644275,353399,17489
2008M07,646515,360850,19080
2008M08,622844,333976,17645
2008M09,642632,348806,18396
2008M10,621165,331001,19926
2008M11,573100,299502,18319
2008M12,609066,332802,16728
2009M01,666916,387876,19520
2009M02,603384,321171,16055
2009M03,618851,329950,15827
2009M04,620060,328230,14598
2009M05,635779,334901,14086
2009M06,674564,357906,14520
2009M07,664885,344645,14165
2009M08,685801,363353,21476
2009M09,642615,311225,14501
2009M10,655304,328883,13837
2009M11,634043,314302,13897
2009M12,643817,313962,13282
2010M01,670991,338901,13836
2010M02,671571,359297,15164
2010M03,674038,329915,14762
2010M04,642960,314467,13777
2010M05,672954,334249,17138
2010M06,686566,344352,14371
2010M07,674449,331610,14506
2010M08,669168,323818,14150
2010M09,689302,335753,17222
2010M10,638173,300518,15645
2010M11,634052,288684,17198
2010M12,633376,287077,14001
2011M01,669127,322138,17760
2011M02,579427,282685,14229
2011M03,630674,284573,18352
2011M04,621122,276972,12358
2011M05,645598,294537,11292
2011M06,644114,296265,11173
2011M07,640912,299283,10312
2011M08,645523,296319,9600
2011M09,627089,289489,8694
2011M10,621275,279523,8765
2011M11,596078,259332,10777
2011M12,633650,287505,8843
2012M01,663145,318630,10593
2012M02,581227,254533,8053
2012M03,625485,278802,8637
2012M04,595741,267364,7935
2012M05,624899,274088,8742
2012M06,640348,289514,8872
2012M07,620990,277878,7728
2012M08,626361,279670,8819
2012M09,595516,253637,8060
2012M10,613300,259450,8860
2012M11,605045,256114,7869
2012M12,611852,267574,7885
2013M01,634231,285083,8605
2013M02,597573,278109,9499
2013M03,615770,266933,7803
2013M04,613496,273477,6841
2013M05,613277,264877,7849
2013M06,610220,268879,7478
2013M07,643080,285548,8092
2013M08,624524,273663,7052
2013M09,592806,257769,6928
2013M10,606793,254716,7054
2013M11,583401,241141,6827
2013M12,599406,258519,7328
2014M01,661470,298125,8774
2014M02,582868,253420,7097
2014M03,606147,264120,6772
2014M04,598134,255984,6626
2014M05,619557,266883,6217
2014M06,620332,277195,6300
2014M07,641095,281291,6523
2014M08,621297,273004,5994
2014M09,36212,265693,89955
2014M10,36079,255810,68695
2014M11,35698,332157,64765
2014M12,36209,465775,64925
2015M01,36086,366883,75785
2015M02,35887,374532,73855
2015M03,36177,70293,691566
2015M04,36420,14467,137775
2015M05,36724,34249,171385
2015M06,36866,44352,143717
2015M07,36749,31610,145067
2015M08,36698,23818,141507
2015M09,36892,35753,172227
2015M10,36383,00518,156457
2015M11,36342,88684,171987
2015M12,36336,87077,140017